1,Mainak Paul,9876543210,mainak.paul@email.com,0,0
2,Sagnik Dey,9123456789,sagnik.dey@email.com,0,0
3,Samata Roy,9988776655,samata.roy@email.com,0,0
4,Shrinjoy Ghosh,9090909090,shrinjoy.ghosh@email.com,0,0
5,Mainak Saha,9012345678,mainak.saha@email.com,0,0
6,Sagnik Sen,9876001234,sagnik.sen@email.com,0,0
7,Samata Das,9123007890,samata.das@email.com,0,0
8,Shrinjoy Paul,9300123456,shrinjoy.paul@email.com,0,0
9,Mainak Chatterjee,9500789001,mainak.chatterjee@email.com,0,0
10,Sagnik Mukherjee,9700456123,sagnik.mukherjee@email.com,0,0
